-446.53073 58.600758 28.618929 14.690668 7.0194926 1.6051166 -0.47222355 -1.2248393 -1.8181981 -2.7763898 -3.6606417 -3.9943964 -3.3522673 -1.564272 -0.1282739 0.47446382 2.1235478 6.8323016 13.991004 21.003874,1
-349.47607 78.897484 -65.29569 -3.6475222 -21.22612 -4.3719406 -17.345247 -15.98336 0.61746997 -12.648119 -12.783005 5.586908 9.8536 17.964779 30.91067 21.122835 9.550858 -0.27276233 -7.2947874 -6.3956766,3
-299.29428 84.63253 -13.63428 17.658752 16.245253 6.446614 -0.89245045 3.77402 -3.413665 0.9998306 13.884016 28.00188 42.672657 40.25804 15.5472975 -7.954133 -23.591492 -17.191193 1.2617913 17.262728,6
-275.73126 129.63228 -1.5849186 30.393463 17.534386 -4.154666 -1.2461042 -6.189314 -3.7204583 -3.3393092 -14.325595 -13.576396 -11.08619 -14.092354 -4.8619113 -6.1981473 -3.904746 -3.8415365 -17.25232 -12.967449,5
-285.86584 97.013824 -23.15138 -12.140707 9.683244 5.539416 11.102073 2.2906842 -2.4108403 -6.2272587 13.40744 26.366331 39.703617 24.101728 8.239064 -4.9962506 -10.579511 -8.237044 -3.691206 8.6661415,7
-254.81992 27.33535 -29.69569 -0.41867992 -16.866804 9.850258 0.9713881 16.520916 15.728135 8.7050295 -27.191177 -16.541403 -6.974557 31.448914 17.673897 0.24975836 -10.248179 14.6832905 23.45679 6.0348144,1
-345.03122 46.08832 -65.52721 -19.437622 8.0817375 16.266104 38.254955 35.45061 8.202446 -20.76697 -22.062883 15.892178 41.251995 18.119484 -19.593422 -23.816786 10.554103 22.833961 4.9269004 10.39776,2
-324.46207 74.81968 -2.459006 22.628702 21.087715 9.705028 9.670272 5.719639 5.1374426 13.349844 18.276974 23.747177 32.27167 25.403904 6.637911 -14.553095 -14.469726 -0.027558204 10.63404 12.145063,6
-331.1858 144.78398 27.162212 8.373144 14.092964 14.850329 3.5563197 -3.329833 -0.85951257 4.8102837 0.5509144 -8.090808 -10.362685 -8.731295 -4.7965055 -2.96013 -6.745277 -8.419638 -3.7502768 -4.0957613,0
-437.38 54.405224 29.44405 25.210274 21.307152 15.48489 9.200658 4.41623 2.6564174 1.3175117 -0.13041304 -0.026631968 0.1573104 -0.77107865 -1.9644659 -1.3456323 -0.22050995 -0.19341685 3.2993546 9.681032,4
-277.592 63.18069 -92.105675 6.1124363 -35.472607 18.368662 -42.651104 -16.381893 -1.9348848 -15.541649 -31.943754 -7.6097713 4.732342 -4.5413985 21.064327 48.78532 35.953896 13.911751 10.545971 -15.127241,5
-303.1802 89.99302 -33.656292 21.366604 -12.000283 6.488204 -3.529531 10.843887 2.5628622 9.002925 -6.742969 -7.482427 -14.730191 -7.9599237 5.9517183 16.488579 35.756104 51.741554 44.17357 6.9602127,1
-245.59134 101.49734 -33.980522 2.522658 -14.33302 12.378113 -5.2425585 1.7148925 -14.78842 -0.8732912 13.558191 21.83227 28.888277 19.37561 24.528364 6.6204576 -11.548974 -19.858706 -7.835911 5.8460026,7
-244.8671 63.629387 -25.29138 2.623627 -2.6308823 4.8877273 9.342679 28.733765 23.937187 25.656631 -6.5297503 -15.360044 -13.951426 9.694449 35.98837 16.748041 -13.976859 -8.044245 2.0664003 8.045294,6
-232.40437 110.223694 -49.546444 18.39299 9.1711445 7.286338 -6.434352 1.4675219 -5.9394827 -3.296036 -9.803054 -1.1310126 5.218533 -2.0987122 0.79525036 4.8750644 3.450488 1.2069466 0.4081896 8.885642,6
-261.85263 69.40809 -3.0678341 11.285746 -1.7003778 7.190666 -7.3652678 13.225421 20.456612 31.072798 15.76558 -12.693618 -31.628288 -22.693201 6.3360343 30.65313 18.043318 -4.154836 -1.0793823 13.000445,0
-214.66962 185.6963 -49.686157 -13.496792 5.746393 -3.0900304 -0.10439121 1.1786644 -13.406955 -5.455416 -3.5538938 -0.74752814 17.665525 17.56125 6.2779555 -0.69247556 0.56283504 -6.3253875 -11.930588 -22.790304,2
-218.12692 160.85446 -37.637573 -0.858765 -3.325874 -15.089056 -22.145544 -13.115708 -19.514942 -3.4716191 -11.923649 -16.933674 -13.401589 -0.26383203 7.6952057 8.088149 13.607477 10.206733 9.594038 1.331809,1
-295.56277 28.18119 -21.205664 1.2724779 -3.188214 18.70514 -5.2138443 -12.452013 -10.943365 31.573425 7.8215747 -11.744392 -26.200111 17.49289 27.919363 -2.0858939 2.815627 23.91914 23.435911 16.42079,1
-305.73383 115.457 -11.834262 -4.773448 7.307062 -17.965456 -14.805098 -12.448304 -23.490356 -15.875681 -4.509586 2.9578323 14.17891 19.409359 28.351414 41.74331 33.264748 10.090596 -6.6709294 -18.30021,2
-279.8517 120.442665 -0.23210302 20.473469 16.234596 9.641212 -2.5629785 -1.4144132 0.32800424 4.686965 -1.3397989 -5.4988747 -7.3288493 -5.9247475 -4.6370354 -2.0916889 11.960569 26.216394 34.42062 35.106144,1
-291.16272 170.35793 -29.656248 19.05345 -1.931941 12.110341 -7.0287023 -0.7328889 9.208865 4.7268023 -2.8520277 -4.926087 -1.2092158 -8.793386 2.598707 1.7520225 -1.083042 -1.2615998 -6.140098 2.218978,5
-173.8891 225.99136 10.508769 17.846231 13.713147 23.55776 -9.528117 -3.2930803 -8.230894 2.080749 -3.010813 -4.990808 -6.9850683 -8.971946 -4.677394 -7.0617933 -3.9878616 0.79892975 4.031707 -3.8004227,0
-442.3135 117.08797 24.407385 -0.86179465 10.980388 15.604619 14.003805 12.991518 11.956376 6.453554 4.1681776 7.3416634 7.250946 3.531294 2.961889 3.3892326 4.57645 6.1024594 7.1903186 7.0031,3
-221.64676 205.24063 1.1909162 -5.698848 12.796593 18.88528 -4.880256 -9.929029 -5.535342 4.6632743 -5.3018827 -8.897786 -5.936441 -10.825168 -6.676221 -4.764054 -6.9292836 -5.202415 -3.90892 -6.02807,0
-261.82343 153.79247 4.3755455 6.0205216 23.45933 5.185726 -0.19916101 7.412339 14.629172 6.099613 2.9578693 5.136861 13.552786 2.2936685 0.09840367 2.383093 3.050671 2.2075243 1.6313246 4.7491603,6
-302.31204 131.57893 -23.748552 6.5795617 13.290292 -3.7886646 7.483347 6.129105 -2.4796476 -2.5049944 -9.262543 -6.798511 1.7394443 -0.72502273 -8.558758 -11.803435 -9.561102 -9.82235 -4.103868 -0.039781872,2
-254.56653 115.06791 -34.53259 13.341293 0.43369523 -15.887211 -15.339358 -4.0590324 -11.604718 -4.519309 -9.792164 -3.3401084 -9.746467 3.428356 14.841966 10.852872 12.292048 7.653674 8.769473 -1.2445244,1
-220.95453 84.98578 -43.537766 -6.559762 -3.8609326 0.11093013 0.5740622 8.7541685 6.7696466 13.088526 28.622206 27.578651 21.767008 -8.427049 -17.003136 -11.27371 7.883105 18.370241 14.947221 25.804836,7
-214.89882 81.71334 -28.3295 51.592873 -20.76249 -22.285658 -23.169956 8.808051 -2.2019186 -1.7048583 -16.164207 -12.74325 -18.14048 3.3899796 27.025091 38.690308 50.745113 39.950737 24.047386 -7.5690923,1
-385.88504 53.15729 -24.452179 -10.285173 -12.019051 2.928796 -10.289033 0.5596215 3.0813587 17.137463 20.416468 23.494568 2.3964336 -12.49679 -10.249047 -1.9227755 8.789824 18.905823 7.6951547 8.985425,3
-325.93872 110.77031 -22.996954 -2.7435117 6.482061 -15.742471 -18.512545 -17.28351 -12.899094 -12.744023 -15.211209 -10.135157 -13.18532 -15.591917 -4.6736073 3.3330736 21.31801 41.13927 42.325447 39.36091,5
-265.77283 76.90785 -26.622774 8.034851 15.831029 20.301497 12.660609 12.707711 -3.1420288 1.7877814 21.329287 31.99439 5.2513494 -5.2801275 1.4235122 19.12451 -3.6846206 3.0379264 10.525412 1.0095896,6
-345.66257 66.081436 -46.52992 -10.548279 -13.845134 7.638705 -12.920229 2.644838 -4.638829 -3.7844174 -10.398017 6.410462 23.32528 22.344942 21.50509 11.997014 -2.7925923 -9.053712 -3.3140342 6.5224457,3
-318.07254 37.024036 -8.287616 9.834724 -20.745441 -8.609786 -18.988773 -2.994822 10.526694 31.741533 21.468271 19.63047 -6.0019307 -20.139881 -16.985973 4.3924894 21.407719 25.487444 18.131071 13.852144,1
-294.1485 100.01637 -9.16802 13.656256 -5.515856 0.8673649 -16.21622 2.223247 -10.605423 3.463836 -0.3730925 10.182192 13.947171 19.702324 18.974148 13.27139 -6.3459215 -8.050935 2.0031316 10.728838,1
-355.4356 82.753876 -66.85595 -20.175394 10.938448 0.004403998 7.2702293 -4.55906 -8.35102 15.596813 40.61946 47.53843 18.082876 -19.142944 -26.739225 -8.592178 14.84697 22.424488 17.133726 10.072726,2
-216.19667 158.74013 -42.418915 1.6713707 -4.1735663 -14.479367 -17.674345 -9.656136 -18.377874 -5.2971497 -6.9708157 -13.656522 -12.638057 1.9525057 -1.370532 -8.411411 1.8167375 7.901707 15.095148 6.163669,1
-177.75542 141.13356 -58.057255 12.848566 2.0697742 -4.6791234 -20.977303 -5.450438 -21.479605 3.3005378 -1.1510494 4.6493077 -6.937778 -0.55620754 5.4563 0.4533401 -0.43561593 0.80854917 14.638849 -7.228914,1
-253.29475 135.08293 -22.256596 -2.9625978 -2.4970794 13.338179 0.5817851 -2.6981134 -3.71142 -15.140275 -1.2397794 2.8294325 4.21642 -13.171333 -9.463697 -8.57272 -6.337574 -2.665868 5.5341206 32.086372,7
-259.9776 77.14064 -88.40126 0.35780275 -3.9466345 -14.3738165 -21.010784 -9.541869 -8.460823 23.411507 34.141056 32.693184 22.928078 6.021874 -23.720585 -20.764008 22.231714 30.83019 21.51916 11.109186,2
-186.37291 63.45834 -21.365248 28.197588 -23.201729 18.24167 7.449366 21.891115 2.5565734 -1.068007 -19.825525 17.130459 24.721916 4.5157223 -11.845789 -3.4817867 30.457142 34.951637 16.613155 12.1809025,1
-256.21405 184.53806 23.729702 12.137625 17.626093 4.205822 -3.6402588 3.2111933 -0.2102522 -7.5973535 -5.141219 6.793763 12.114268 -1.6826155 -2.2803943 -0.0025633557 -2.6926339 -4.177015 3.7983453 7.6190987,6
-297.237 85.3769 -66.49848 -32.406982 -18.074862 -22.895256 18.757723 35.03195 27.618647 34.88103 20.462488 -4.980825 -16.687084 -4.5236034 31.82588 38.292686 4.461396 -7.7021637 6.5177016 1.4453542,2
-313.21756 130.07735 2.303418 -8.8762245 0.6790966 -14.81557 -14.406026 -20.476542 -35.937584 -29.895502 -13.518828 1.637222 12.131705 10.042756 15.611673 35.64151 43.19256 34.883667 18.41139 -6.956793,2
-251.42162 127.30634 -64.657234 -11.047446 -4.781021 -1.133926 -20.823359 -2.199258 -6.842779 -13.589957 -12.345397 0.39947173 -2.7871153 1.6675185 5.6971874 -0.8864202 1.5825211 -0.7133799 3.2057962 -2.2660344,3
-398.78543 101.92205 33.328964 23.782606 1.4550472 -1.9938122 -2.1393795 6.035648 16.019957 26.956434 17.464676 3.8127682 -10.023196 -16.599882 -4.8877254 13.448574 23.846807 23.106035 17.134216 14.892128,1
-359.2235 62.50097 16.912369 9.180242 14.956993 15.227838 12.494 15.07515 15.377607 17.39281 10.470201 8.391981 5.5485063 -6.169208 0.816968 12.148363 23.516161 25.37585 23.019379 23.929691,7
-281.97482 43.51558 -17.559408 11.526157 -15.548053 7.126511 -13.360342 -10.570721 -16.589268 13.327611 2.7471395 27.342001 27.987436 19.40161 0.92009604 -14.6030445 -16.206352 6.974434 30.62387 12.287553,1
-272.71152 209.6508 34.31389 8.331561 31.180733 23.008413 0.2427308 -9.994048 -3.9984896 2.9379694 0.49977005 -5.045886 -5.8833995 -2.2816312 -0.83881724 -4.2748365 -2.706784 3.0183773 3.518041 -2.376378,0
-272.07162 114.68548 12.069414 18.8538 14.689771 4.346939 -0.95962983 5.0352373 0.3649545 3.1568484 0.04266028 0.3263361 -3.931948 -1.4505335 5.6326756 0.57509315 -2.0722637 -7.3603907 -6.9607615 -1.4847921,1
-259.68436 125.620514 -31.550406 7.317743 13.780168 -5.8678327 -11.734389 -8.087837 -6.9501796 1.1624963 -1.7265781 -12.318828 -15.045835 -2.6493688 5.143257 3.3965213 3.8061671 7.145956 8.541106 2.3603928,1
-224.1115 34.09556 -19.721777 9.332567 -12.85682 21.960375 -1.9414634 -1.5006717 -18.407627 12.310459 11.788172 15.677421 -26.758152 -17.748346 23.895851 32.20438 7.1081114 5.694324 25.068079 5.4698987,1
-421.64908 62.422665 20.251057 0.5305951 4.001065 7.38549 4.3949065 2.9151533 3.7566102 3.0146384 1.4771531 1.093476 1.4840744 2.9673815 6.7901554 12.843517 19.75517 25.067755 25.519743 19.866499,3
-243.54863 117.787476 -14.920975 9.986408 5.8439555 13.29062 -7.5151954 -2.367128 -2.4561791 -8.859576 -7.758018 -5.145416 5.9615912 26.768723 39.166473 38.109848 18.14812 -16.368174 -22.011066 -16.259027,0
-240.17693 167.9229 -4.697541 0.114549346 13.728608 21.19996 1.6669859 3.042867 1.9534221 10.692503 5.6993794 -5.0347056 -16.100807 -16.084976 -7.5167212 -5.2726 -6.9093146 -1.310913 2.0723617 2.8100119,0
-333.18243 111.27518 2.8555267 20.533644 7.8169355 1.7977469 -3.8636003 -4.5050807 -8.686459 -4.772027 -5.0005054 -6.424292 -10.254926 -1.5408463 5.5158563 -1.5254216 -4.4884157 2.0690112 11.63951 21.124256,1
-276.80902 113.37006 18.636961 20.200668 22.074244 18.261911 12.111062 9.898951 6.574556 2.2861521 3.2697506 4.171577 6.607868 3.9164944 -1.5586208 -2.1614249 -0.40558726 1.7141907 4.619725 1.8240668,6
-180.40742 165.08533 -69.824974 -5.6460648 13.326035 3.720603 -4.3397346 3.8756225 -5.5177913 1.3425338 6.533725 11.570558 3.4720292 -11.141966 -21.4352 -27.048615 -20.616089 -29.68098 -17.77218 -7.815398,2
-160.34885 164.13899 -85.50961 4.7773256 8.150348 -8.121203 -3.2012024 2.981491 -22.564684 -2.9596288 -1.9666778 0.32174307 6.39917 13.08498 15.178574 -0.028324476 2.8753977 -7.6832438 -7.080538 -13.666282,2
-328.77884 82.700935 -72.43986 -25.640282 -2.0120893 -8.8777075 18.72437 29.693254 28.165272 28.895718 1.4802047 -23.13691 -13.651788 12.841427 26.196743 15.791978 -7.1158876 -14.445556 2.9247108 0.116335176,2
-291.65005 139.6668 -2.0497904 -8.993812 1.063247 -16.881432 -11.953074 -11.475852 -28.951996 -27.030375 -12.524449 -0.38496456 6.832938 7.7008 19.588192 41.228256 46.703728 33.787964 14.735876 -9.699431,2
-262.91302 141.61334 -0.23686428 26.687952 17.672777 1.3383532 -10.230919 -4.1644144 -6.6902504 3.5427308 3.1780677 -5.0082636 -9.934683 -5.4413366 2.9815617 4.956287 9.387858 3.38704 -1.7439371 -9.313255,1
-268.3104 151.62743 -63.635784 -1.9566009 6.954458 6.2573767 10.326592 7.820448 -3.2651117 0.8571057 -3.0262024 7.437109 1.0748974 -17.334715 -21.975523 -26.639256 -18.612684 -13.768129 -2.1359608 -4.381791,2
-217.57895 151.9819 -38.260498 14.148069 -13.51744 -12.166314 -24.682829 -8.874186 -16.818262 -0.12627149 -14.924378 -13.10362 -8.054149 4.4135313 10.876387 7.132456 6.256343 2.6318555 11.21201 -0.19185802,1
-234.81857 113.20063 -1.2544359 14.072128 4.064144 5.02504 -1.6344341 0.7327789 6.8092103 37.05368 43.69044 17.148935 -17.769041 -23.767519 -19.2565 -4.267995 9.866178 12.987813 13.453593 14.302916,0
-285.4648 190.64552 53.20497 30.691336 37.208755 28.116402 5.22737 -1.0756816 2.4814675 4.7624927 0.490709 -6.742492 -7.9299006 -5.217227 -5.3133793 -9.165761 -9.4939 -2.4363337 0.37570262 -4.6984615,0
-298.57077 161.98454 6.505117 0.88447285 12.526165 8.355287 21.018543 3.8795073 -14.657318 2.4540515 10.374762 8.606539 14.560763 10.472104 0.12768643 -12.9911585 -32.56539 -39.41068 -28.333328 -19.74343,2
-326.4138 107.44458 32.549244 5.38102 33.814884 15.101356 12.826385 2.4551067 -0.40508303 -10.903352 -5.7205353 2.0246775 10.813392 2.6203535 -4.4444885 -7.717463 -4.5868425 -2.00593 -2.9330087 1.4180169,7
-249.06223 123.40259 -80.34417 11.751049 3.1525 11.5472975 11.719308 9.036814 -4.185105 -17.96968 -16.04144 -5.9604826 -16.639532 -14.383235 -18.31259 -12.607865 9.853823 2.024126 3.1708212 -11.311508,2
-283.4319 107.61874 -52.111073 -2.0664601 14.945528 -7.6228657 -13.905242 -10.450738 -18.31746 -22.178307 -18.879965 -7.0889635 7.750859 7.5915847 10.687551 19.099827 30.567677 38.581635 33.967934 18.599405,2
-224.97385 149.8515 -58.09245 -19.309834 1.8168864 16.80239 -2.8516357 1.1099284 -13.109294 -14.368785 -28.742607 -23.172548 -14.555886 -10.927149 -2.5977893 -1.7419964 2.9065046 -12.479305 1.5180064 15.837569,2
-402.65707 50.754692 -12.958424 -29.202951 -12.206099 -1.2003502 6.763048 21.006874 29.280376 22.357494 5.0701737 -11.278581 -12.733723 4.3724318 23.562881 26.282587 14.531485 4.8343987 4.0376744 2.068019,3
-384.97745 83.319756 -45.06074 -27.018686 -3.547536 -20.931753 -21.928194 -13.481349 1.0073551 19.872082 32.575184 43.55953 37.900677 8.640292 -16.921926 -20.380224 -5.4577827 10.187051 14.114752 8.2181425,5
-206.55649 46.540848 -28.666475 17.51701 -7.4729705 24.742989 -12.377935 17.536383 13.648466 19.786467 -13.170157 20.245356 5.636717 -9.90316 8.120009 30.701595 8.086364 11.281195 21.312334 8.812735,1
